Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,,"9,499",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,,"16,297",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,,"31,652",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,,"40,742",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2020,Exports FOB (millions of US dollars),,,"44,652",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2021,Exports FOB (millions of US dollars),,,"53,123",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2022,Exports FOB (millions of US dollars),,,"72,150",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,,"-8,481",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,,"-14,945",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,,"-31,036",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,,"-53,735",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2020,Balance imports/exports (millions of US dollars),,,"-40,768",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2021,Balance imports/exports (millions of US dollars),,,"-50,229",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2022,Balance imports/exports (millions of US dollars),,,"-137,091",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,1995,Imports CIF (millions of US dollars),,,"5,412",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2005,Imports CIF (millions of US dollars),,,"18,680",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2010,Imports CIF (millions of US dollars),,,"43,623",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2015,Imports CIF (millions of US dollars),,,"56,081",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2020,Imports CIF (millions of US dollars),,,"28,787",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2021,Imports CIF (millions of US dollars),,,"33,961",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2022,Imports CIF (millions of US dollars),,,"45,038",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,1995,Exports FOB (millions of US dollars),,,"10,954",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2005,Exports FOB (millions of US dollars),,,"48,958",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2010,Exports FOB (millions of US dollars),,,"90,717",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2015,Exports FOB (millions of US dollars),,,"70,653",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2020,Exports FOB (millions of US dollars),,,"53,085",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2021,Exports FOB (millions of US dollars),,,"77,616",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2022,Exports FOB (millions of US dollars),,,"116,102",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,,"5,542",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,,"30,278",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,,"47,094",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,,"14,572",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2020,Balance imports/exports (millions of US dollars),,,"24,298",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2021,Balance imports/exports (millions of US dollars),,,"43,655",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2022,Balance imports/exports (millions of US dollars),,,"71,064",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,1995,Imports CIF (millions of US dollars),,,"26,745",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2005,Imports CIF (millions of US dollars),,,"63,786",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2010,Imports CIF (millions of US dollars),,,"97,723",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2015,Imports CIF (millions of US dollars),,,"104,174",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2020,Imports CIF (millions of US dollars),,,"85,161",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2021,Imports CIF (millions of US dollars),,,"116,682",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
